ENROLLMENT ID,ENROLLMENT STATE,PROVIDER TYPE CODE,PROVIDER TYPE TEXT,NPI,MULTIPLE NPI FLAG,CCN,ASSOCIATE ID,ORGANIZATION NAME,DOING BUSINESS AS NAME,INCORPORATION DATE,INCORPORATION STATE,ORGANIZATION TYPE STRUCTURE,ORGANIZATION OTHER TYPE TEXT,PROPRIETARY_NONPROFIT,ADDRESS LINE 1,ADDRESS LINE 2,CITY,STATE,ZIP CODE,DATE
O20180412002659,TX,00-08,PART A PROVIDER - HOSPICE,1932613296,N,741738,8729341334,ANGEL WINGS HOSPICE SERVICES LLC,,10/31/2017,TX,LLC,,P,923 W BUSINESS 83,STE B,WESLACO,TX,785965840,01/2025
O20180413000663,TX,00-08,PART A PROVIDER - HOSPICE,1922510312,N,741734,9436412061,GREAT AMERICAN PALLIATIVE & HOSPICE CARE LLC,NEW DAWN HOSPICE AND PALLIATIVE CARE,10/25/2017,TX,LLC,,P,5444 WESTHEIMER RD,STE 1000,HOUSTON,TX,770565318,01/2025
O20180413000718,CA,00-08,PART A PROVIDER - HOSPICE,1205331527,N,B21613,4880957422,ACESO HOSPICE INC,,06/22/2017,CA,CORPORATION,,P,6420 COLDWATER CANYON AVE,STE 199,NORTH HOLLYWOOD,CA,916061126,01/2025
O20180413001261,TX,00-08,PART A PROVIDER - HOSPICE,1033580675,N,741750,5799048237,ZOE HOSPICE LLC,LA DIFERENCIA HOSPICE,,,LLC,,P,730 PLEASANTON RD,,SAN ANTONIO,TX,782141345,01/2025
O20180417000108,CO,00-08,PART A PROVIDER - HOSPICE,1982052452,N,61604,3870856305,MT ROSE HEALTH CENTER PALLIATIVE CARE AND HOSPICE INC,,04/07/2016,CO,CORPORATION,,N,1114 E MAIN ST,,TRINIDAD,CO,810822034,01/2025
O20180420001406,CO,00-08,PART A PROVIDER - HOSPICE,1861663361,N,61606,3971682105,AHC HOME HEALTH OF COLORADO LLC,,,,LLC,,P,1800 S POTOMAC ST,,AURORA,CO,800125430,01/2025
O20180420001921,CA,00-08,PART A PROVIDER - HOSPICE,1386149771,N,A01673,9234492471,"SONATA HOSPICE OF RIVERSIDE COUNTY, LLC",TRADITIONS HEALTH,11/03/2017,CA,LLC,,P,28780 SINGLE OAK DR,STE 250,TEMECULA,CA,925905534,01/2025
O20180423000413,MN,00-08,PART A PROVIDER - HOSPICE,1295231223,N,241604,7517220775,CARINGEDGE HOSPICE OF HERMANTOWN LLC,,05/18/2017,MN,LLC,,P,4195 WESTBERG RD,,HERMANTOWN,MN,558112950,01/2025
O20180424001353,CA,00-08,PART A PROVIDER - HOSPICE,1376970707,N,A01555,6901169044,PHYSICIANS PREFERRED HOSPICE INC,,05/24/2017,CA,CORPORATION,,P,6047 TAMPA AVE,STE 301,TARZANA,CA,913561182,01/2025
O20180426000917,PA,00-08,PART A PROVIDER - HOSPICE,1790199511,N,391605,9032029020,UPMC HOME HEALTHCARE OF WESTERN PA,FAMILY HOSPICE,05/22/1986,PA,CORPORATION,,N,1700 PEACH ST,STE 244,ERIE,PA,165012134,01/2025
O20180501002763,TX,00-08,PART A PROVIDER - HOSPICE,1952848012,N,741741,8527322486,MERIT HOSPICE LLC,,12/07/2016,TX,LLC,,P,8350 N CENTRAL EXPY,STE M1019,DALLAS,TX,752061600,01/2025
O20180502001996,CA,00-08,PART A PROVIDER - HOSPICE,1205297314,N,A01662,7012271810,"MOONLIGHT HOSPICE CARE, INC.",,02/23/2016,CA,CORPORATION,,P,348 E OLIVE AVE,STE J,BURBANK,CA,915021226,01/2025
O20180502002524,SC,00-08,PART A PROVIDER - HOSPICE,1154757474,N,421636,2567726375,HADORA HOSPICE OF THE CAROLINAS,,,,LLC,,P,6156 SAINT ANDREWS RD,STE 208,COLUMBIA,SC,292123147,01/2025
O20180503000156,TX,00-08,PART A PROVIDER - HOSPICE,1447758065,N,741739,9537423355,RELIABLE HOSPICE LLC,ANGELS CARE HOSPICE,01/12/2018,TX,LLC,,P,2807 7TH ST,,BAY CITY,TX,774145318,01/2025
O20180504002099,MI,00-08,PART A PROVIDER - HOSPICE,1972865079,N,231530,6901061787,"DIVERSIFIED HOSPICE CARE, INC.",ADVISACARE HOSPICE,03/04/2011,MI,CORPORATION,,P,3290 W BIG BEAVER RD,STE 501,TROY,MI,480842911,01/2025
O20180508001275,DE,00-08,PART A PROVIDER - HOSPICE,1417467002,N,81511,5092032284,ACTS SIGNATURE COMMUNITY SERVICES INC,ACTS SIGNATURE HOSPICE DELAWARE,03/24/2009,PA,CORPORATION,,N,726 LOVEVILLE RD,STE 3000,HOCKESSIN,DE,197071536,01/2025
O20180508001651,CA,00-08,PART A PROVIDER - HOSPICE,1053818062,N,A01692,1850655481,WARM CARE HOSPICE AND PALLIATIVE CARE,,12/06/2017,CA,CORPORATION,,P,12550 BROOKHURST ST,STE C,GARDEN GROVE,CA,928404834,01/2025
O20180508002305,OK,00-08,PART A PROVIDER - HOSPICE,1386958312,N,371697,3678834017,EMERALD FIRST CHOICE HOSPICE LLC,EMERALD FIRST CHOICE HOSPICE,11/28/2017,OK,LLC,,P,120 S YORKSHIRE BLVD,,WAGONER,OK,744674861,01/2025
O20180510000722,TX,00-08,PART A PROVIDER - HOSPICE,1619405735,N,971581,5193089514,"BY YOUR SIDE HOSPICE, LLC.",,05/03/2017,TX,LLC,,P,5373 W ALABAMA ST,STE 441,HOUSTON,TX,770565930,01/2025
O20180510002052,VA,00-08,PART A PROVIDER - HOSPICE,1447752134,N,491630,9638168735,"ADVENTA HOSPICE, L.L.C.",AMEDISYS OF BLACKSTONE,11/19/2002,VA,LLC,,P,920 S MAIN ST,STE C&D,BLACKSTONE,VA,238242648,01/2025
O20180510002248,GA,00-08,PART A PROVIDER - HOSPICE,1295238517,N,851505,7719241173,PEACEFUL PURPOSE HOSPICE OF GEORGIA LLC,,,,LLC,,P,106A N JEFFERSON AVE,,EATONTON,GA,310241020,01/2025
O20180510002371,CA,00-08,PART A PROVIDER - HOSPICE,1558766089,N,921720,8325302789,"COMFORTING CARE HOSPICE, INC.",,09/22/2014,CA,CORPORATION,,P,2345 ERRINGER RD,STE 225,SIMI VALLEY,CA,930652279,01/2025
O20180511000668,TX,00-08,PART A PROVIDER - HOSPICE,1548770308,N,741752,4880958263,ALORA HOSPICE AND PALLIATIVE CARE LLC,,,,LLC,,P,1205 N RAUL LONGORIA RD,STE K,SAN JUAN,TX,785893720,01/2025
O20180511001564,GA,00-08,PART A PROVIDER - HOSPICE,1235654039,N,111762,7618231010,A/B HOSPICE LLC,AFFINITY HOSPICE,01/12/2016,GA,LLC,,P,1395 S MARIETTA PKWY SE,STE 116,MARIETTA,GA,300677852,01/2025
O20180511001690,TX,00-08,PART A PROVIDER - HOSPICE,1013200567,N,741781,7012176043,"VILLAGE HOME HEALTH, LLC",VILLAGE HOME HEALTH,05/12/2011,TX,CORPORATION,,P,631 N EGRET BAY BLVD,SUITE A,LEAGUE CITY,TX,775732677,01/2025
O20180515000612,PA,00-08,PART A PROVIDER - HOSPICE,1023513058,N,391567,3779847066,PROSPECT CROZER HOME HEALTH AND HOSPICE LLC,CROZER KEYSTONE HOSPICE,11/16/2017,PA,LLC,,P,190 W SPROUL RD,,SPRINGFIELD,PA,190642027,01/2025
O20180518002219,TX,00-08,PART A PROVIDER - HOSPICE,1518483445,N,741778,6901161009,ALTRUIST HOSPICE INC,,06/19/2017,TX,CORPORATION,,P,12660 COIT RD,STE 200,DALLAS,TX,752511703,01/2025
O20180529000694,CA,00-08,PART A PROVIDER - HOSPICE,1376051383,N,B31673,6709141500,AHC HOME HEALTH OF SACRAMENTO LLC,ADVANCED HOME HEALTH & HOSPICE OF SACRAMENTO,01/10/2018,UT,LLC,,P,1411 EXPO PKWY,,SACRAMENTO,CA,958154238,01/2025
O20180530000103,CA,00-08,PART A PROVIDER - HOSPICE,1871081471,N,A01687,6305101056,ATHENA INC,ATHENA HOSPICE,03/13/2018,CA,CORPORATION,,P,7636 N INGRAM AVE,STE 105,FRESNO,CA,937116200,01/2025
O20180530000807,OR,00-08,PART A PROVIDER - HOSPICE,1801313200,N,381567,8527246644,SERENITY PALLIATIVE CARE AND HOSPICE LLC,,,,LLC,,P,1020 GREEN ACRES RD,STE 12,EUGENE,OR,974081715,01/2025
O20180530000936,AL,00-08,PART A PROVIDER - HOSPICE,1346305216,N,11621,7911262696,LAKE MARTIN HOSPICE LLC.,IVY CREEK HOSPICE,07/10/2014,AL,LLC,,P,201 MARIARDEN RD,,DADEVILLE,AL,368536244,01/2025
O20180601000604,FL,00-08,PART A PROVIDER - HOSPICE,1821503756,N,101559,4587929187,SEASONS HOSPICE & PALLIATIVE CARE OF PINELLAS COUNTY LLC,ACCENTCARE HOSPICE & PALLIATIVE CARE OF PINELLAS COUNTY,,,LLC,,P,17757 US HIGHWAY 19 N,STE 300,CLEARWATER,FL,337646559,01/2025
